date,keywords,geo,hits
2008-03-02T05:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,52.86364681769272
2008-03-03T05:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,50.988920326086074
2008-03-03T05:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,54.193549882288764
2008-03-04T05:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,53.80210213718046
2008-03-04T05:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,51.20126798694766
2008-03-05T05:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,49.93397714692566
2008-03-05T05:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,47.54403455930855
2008-03-06T05:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,48.17573851499166
2008-03-06T05:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,47.54403455930855
2008-03-07T05:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,45.010908977510475
2008-03-07T05:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,43.88680113166943
2008-03-08T05:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,43.252670345576476
2008-03-08T05:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,42.55689806707339
2008-03-09T05:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,47.12079533583127
2008-03-09T05:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,58.848210608374934
2008-03-10T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,46.41749988305765
2008-03-10T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,48.87393762390459
2008-03-11T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,53.098806684406874
2008-03-11T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,56.520880245331824
2008-03-12T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,51.69221577885967
2008-03-12T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,53.19612258384174
2008-03-13T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,46.06585215667086
2008-03-13T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,48.20898609160657
2008-03-14T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,43.95596579835007
2008-03-14T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,46.21413149471251
2008-03-15T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,40.79113626086886
2008-03-15T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,39.232140405583294
2008-03-16T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,48.52738624137847
2008-03-16T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,46.87908302701054
2008-03-17T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,49.58232942053887
2008-03-17T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,48.87393762390459
2008-03-18T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,56.96693167466168
2008-03-18T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,55.5234529468848
2008-03-19T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,48.52738624137847
2008-03-19T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,44.88422843011646
2008-03-20T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,49.23068169415208
2008-03-20T04:00:00Z,depression;anxiety;pain;stress;fatigue,US-NY-501,49.87136492235163
2008-03-21T04:00:00Z,"depression,anxiety,pain,stress,fatigue",US-NY-501,35.516420365066864
